"","p_val","avg_diff","pct.1","pct.2","pct.diff"
"Sil1",3.53583448156028e-08,0.0302902392619131,0.557,0.337,0.22
"X1600012H06Rik",1.63062575900971e-06,0.399326567924238,0.4,0.18,0.22
"Strn",2.98249757560802e-07,-0.0104389465780448,0.5,0.282,0.218
"Sox14",1.09917438158064e-07,0.102537921109264,0.286,0.075,0.211
"Ephb1",1.86889202220536e-06,0.259928646432874,0.257,0.047,0.21
"Gria4",2.45527258536718e-08,0.352526286962175,0.986,0.776,0.21
"Cab39",2.86417069856122e-07,-0.0783805254764695,0.886,0.676,0.21
"Kcns1",1.83200930513427e-07,0.10504565260164,0.243,0.037,0.206
"Ngfr",9.14389130550394e-09,0.047280822827373,0.286,0.085,0.201
"Pgap1",1.80799044795007e-09,0.467106395055727,0.986,0.786,0.2
"Hspa1a",2.46485185424431e-07,-0.116852107396416,0.343,0.145,0.198
"Gna11",2.15519710059647e-06,0.0352426587624899,0.871,0.673,0.198
"Rpl14",1.76797681510599e-06,-0.0463824948435867,0.8,0.603,0.197
"Satb2",2.01210885496599e-06,0.0620736307829187,0.3,0.105,0.195
"Trim28",9.25735914472682e-09,0.0227133856826858,0.629,0.436,0.193
"Arsb",1.56016465821489e-06,0.0352166689519038,0.429,0.239,0.19
"Commd2",2.14749360090465e-06,0.0389930193379609,0.357,0.167,0.19
"Ntrk2",8.13450837418389e-07,0.281290985605742,1,0.81,0.19
"Crip1",2.53545238058804e-08,0.0203080818774659,0.314,0.127,0.187
"Acbd3",3.02699520174739e-08,-0.00705024631768592,0.571,0.384,0.187
"Fxr2",2.12558698689339e-06,-0.182402533160033,0.943,0.756,0.187
"Atp7a",1.18438836476327e-08,0.0425277973309612,0.286,0.102,0.184
"Kifap3",2.28958186476542e-07,-0.0299201830196367,0.986,0.803,0.183
"Prdx3",4.86539119480631e-07,-0.114139173614926,0.771,0.591,0.18
"Trappc4",1.14902392557868e-06,-0.0844654985086497,0.971,0.791,0.18
"Taok1",3.82852858846883e-07,-0.164909670055673,0.957,0.778,0.179
"Fxyd5",8.19184770067417e-08,0.091479592222629,0.2,0.022,0.178
"Ngb",1.25485996189097e-06,0.0949775807843897,0.2,0.022,0.178
"Pccb",9.12684027394926e-08,-0.00236070756268597,0.5,0.322,0.178
"Nr3c1",4.27260394716568e-07,0.329364008904638,1,0.828,0.172
"Adra1a",1.4303442841547e-06,-0.0118131207616967,0.514,0.342,0.172
"Hax1",2.78310894849686e-07,-0.0689894847623633,0.729,0.566,0.163
"Ube2q1",3.86080624269534e-07,-0.144258354724532,0.8,0.638,0.162
"Marcks",1.89568087586837e-06,0.294522256311976,1,0.838,0.162
"Vgf",1.9617628036507e-09,-0.130538174747992,0.471,0.309,0.162
"Ifngr2",1.11301559210799e-07,-0.0746781146428269,0.671,0.511,0.16
"Arhgef40",1.49143129913909e-09,-0.0389978343350075,0.414,0.254,0.16
"Coq10b",2.77352491714177e-07,-0.00255527610744699,0.429,0.269,0.16
"Rnpep",1.78180732183841e-06,-0.0319422566584129,0.614,0.454,0.16
"Atp5j2",4.05296848724463e-07,-0.00333036242988066,0.543,0.384,0.159
"Chpf",1.76636904806969e-07,-0.079409269593556,0.629,0.471,0.158
"Stambpl1",5.0402596317467e-07,-0.0154278416386984,0.457,0.299,0.158
"X4933431E20Rik",4.46438967448253e-07,-0.0649103958602611,0.5,0.342,0.158
"Rbms3",5.24250363160438e-16,0.576812947109211,0.957,0.803,0.154
"Ncdn",8.16564261468293e-07,-0.0938409733652129,0.714,0.561,0.153
"Cdh13",8.1804803020232e-22,0.604378507011648,0.986,0.835,0.151
"Ube2ql1",1.91459454118935e-06,0.161566569048039,0.986,0.835,0.151
"Dmxl2",3.46609004310651e-07,-0.170224393312296,0.857,0.708,0.149
"Spen",1.1138536812013e-06,-0.0062719700578103,0.429,0.282,0.147
"Olfr825",1.69699629029049e-06,-0.0101008492697068,0.329,0.185,0.144
"Pnmal2",5.58547562413472e-09,-0.249140970888669,0.943,0.8,0.143
"Mapk3",8.44767155256622e-07,-0.119615356525562,0.614,0.474,0.14
"Grk2",7.68479982536963e-07,-0.0691333423305405,0.586,0.446,0.14
