"","p_val","avg_diff","pct.1","pct.2","pct.diff"
"Rerg",4.72116894868787e-07,0.333263710484462,0.588,0.119,0.469
"Zeb2",4.7297643550239e-10,0.817273369743541,0.824,0.368,0.456
"Tox3",8.94529803295374e-09,0.269593376981231,0.471,0.015,0.456
"Slc6a17",1.15386421789716e-09,0.80433500322118,1,0.548,0.452
"Lypd6",1.47685695423928e-06,0.680135762193807,1,0.548,0.452
"Purg",1.03683822875727e-06,0.309865332500349,0.588,0.139,0.449
"Eif3f",1.23249961162008e-06,0.155294357579997,1,0.551,0.449
"Herc3",7.32165084465453e-09,0.941251095712382,1,0.555,0.445
"Lypd1",2.8965186593198e-07,1.04518975375048,1,0.559,0.441
"Camk2d",2.06680849015046e-15,1.14946075408552,1,0.575,0.425
"Oprm1",3.02706245639889e-07,0.398740486200332,0.471,0.046,0.425
"Ppp1r3e",1.61899925180183e-06,0.259208514611609,0.529,0.112,0.417
"Kndc1",4.35680099650226e-12,1.08691344503681,0.941,0.524,0.417
"Plxna4",3.02590350201023e-07,-0.109597206361603,1,0.593,0.407
"Caly",1.10994375998129e-06,0.690120999158299,1,0.595,0.405
"Rtn4rl1",3.58311253428245e-08,0.306849008906183,0.412,0.009,0.403
"Fh1",5.69437392461232e-07,-0.130309688755709,0.765,0.41,0.355
"Tbc1d1",8.86828169255104e-08,0.0188379551361557,0.471,0.126,0.345
"Arl4c",1.1275220002904e-06,0.0259342305842718,0.706,0.366,0.34
"Fzd7",2.04741724054832e-07,0.127751353655993,0.353,0.022,0.331
"Arid5b",9.6438525987327e-07,0.14510983739399,0.353,0.022,0.331
"Txnrd1",1.34837813462123e-07,-0.356579126833513,0.882,0.57,0.312
"Spock3",4.20890885187985e-15,1.24567868952863,1,0.718,0.282
"Rab3c",2.92925656869468e-14,1.03786983763459,1,0.736,0.264
"Dpm3",2.15702487677018e-07,0.041071241208949,0.471,0.207,0.264
"Nudt21",1.73376264266163e-06,-0.2237179892767,1,0.764,0.236
"Olfm1",5.24189553740074e-09,-0.648558997595191,1,0.857,0.143
"Prkab2",1.36439230153928e-06,-0.130589924257244,0.353,0.233,0.12
"Daam2",1.0927784655576e-06,-0.000959633888376624,0.176,0.059,0.117
"Tspan7",1.7362792466075e-10,-0.774054863720274,1,0.892,0.108
"Syngr3",2.03693767208732e-10,-0.591560007763085,1,0.912,0.088
"Cdh13",4.08623801206347e-11,-1.33894496924397,0.941,0.855,0.086
"Ctsl",6.57716131493757e-09,-0.920776526894567,0.941,0.855,0.086
"Cst3",2.56430097112225e-07,-0.719869537424759,1,0.914,0.086
"Cntn1",9.46637948853698e-07,0.487234480044768,1,0.936,0.0639999999999999
"Vsnl1",2.66330955087712e-12,-1.32136550399676,0.941,0.883,0.0579999999999999
"Ankrd6",2.04455153270261e-06,-0.386027050611052,0.588,0.557,0.0309999999999999
"Slc6a4",5.38096813615887e-18,-1.16702073955533,1,0.971,0.029
"Ube2ql1",2.39272478280335e-09,-1.00390554334472,0.882,0.857,0.025
"Rab27b",1.00561388251754e-06,-0.829808724758228,0.765,0.74,0.025
"Nap1l5",1.62835179783006e-07,0.73505835603102,1,0.989,0.011
"Pgap1",1.65977944821623e-08,-0.9456522885071,0.824,0.815,0.00900000000000001
"Chga",2.65855258670021e-10,-1.08668642399742,0.882,0.879,0.003
"Aldoc",3.92729246423701e-07,-1.05935289781141,0.941,0.949,-0.00800000000000001
"Ptprt",1.18837587506714e-06,-0.475415099110795,0.529,0.537,-0.00800000000000001
"Pea15a",1.56970176711675e-10,-0.909411870896922,0.941,0.956,-0.015
"Id4",2.05725378615958e-06,-0.943749007147264,0.765,0.811,-0.046
"Syn2",9.06596812692462e-07,-0.876448765754099,0.765,0.83,-0.0649999999999999
"Gch1",1.0363862316625e-14,-1.39962157807661,0.824,0.919,-0.0950000000000001
"Zbtb20",8.76930655878505e-13,-1.47361238362342,0.765,0.903,-0.138
"Slc10a4",5.46170378123775e-09,-0.925002088948069,0.765,0.905,-0.14
"Cdk14",1.68812285012891e-10,-1.09157011888625,0.706,0.872,-0.166
"Pdyn",1.44626363095048e-07,-0.812334688949125,0.118,0.3,-0.182
"Fam3c",1.01034046554824e-08,-1.32249335443322,0.588,0.844,-0.256
"Crip2",1.87302620584344e-08,-0.823379499261044,0.353,0.639,-0.286
"Elavl2",3.98515093222129e-13,-1.61387035953275,0.529,0.894,-0.365
"Pcsk2",2.75344102018384e-08,-0.74395962794499,0.176,0.61,-0.434
"Atp2b4",5.99160811237558e-07,-0.892259806255641,0.176,0.665,-0.489
"Pitpnc1",8.29114879774013e-13,-1.2654565865214,0.176,0.802,-0.626
"Gfra1",5.64729219311408e-09,-1.3586869585242,0.118,0.751,-0.633
"Dgkk",1.47246668343387e-08,-0.943745474591683,0,0.698,-0.698
"Col25a1",1.18380253014602e-08,-1.8117372443955,0.059,0.76,-0.701
"Glra2",1.17004456086397e-08,-0.966921292700839,0,0.703,-0.703
